time	V(vd)	V(vgs)	Id(M1)
1.667447510910879e-005	5.733610e+000	6.333984e-001	-1.008331e-002
1.667532996298644e-005	5.733771e+000	6.789673e-001	-1.284476e-002
1.667636370223084e-005	5.733966e+000	7.425324e-001	-1.572030e-002
1.667835749703306e-005	5.734332e+000	8.781752e-001	-2.012839e-002
1.667935745371768e-005	5.734502e+000	9.501482e-001	-2.170889e-002
1.668003451106965e-005	5.734602e+000	9.996428e-001	-2.228428e-002
1.668082251385437e-005	5.734705e+000	1.056429e+000	-2.255361e-002
1.668159233635728e-005	5.734798e+000	1.111391e+000	-2.265079e-002
1.668234166382864e-005	5.734884e+000	1.164449e+000	-2.265585e-002
1.668308324250431e-005	5.734963e+000	1.216208e+000	-2.255731e-002
1.668390898213328e-005	5.735044e+000	1.272802e+000	-2.234395e-002
1.668471726038050e-005	5.735118e+000	1.327168e+000	-2.208142e-002
1.668573542868990e-005	5.735207e+000	1.394334e+000	-2.173041e-002
1.668694686875059e-005	5.735305e+000	1.472153e+000	-2.131059e-002
1.668936974887197e-005	5.735480e+000	1.621904e+000	-2.048401e-002
1.669263789501506e-005	5.735679e+000	1.812307e+000	-1.941678e-002
1.669797537605649e-005	5.735927e+000	2.097553e+000	-1.779828e-002
1.670484642984461e-005	5.736139e+000	2.425738e+000	-1.591733e-002
1.671275045919589e-005	5.736259e+000	2.754120e+000	-1.401667e-002
1.672170406897838e-005	5.736274e+000	3.070196e+000	-1.216821e-002
1.673228125766458e-005	5.736171e+000	3.379101e+000	-1.033159e-002
1.674570374595652e-005	5.735505e+000	3.687950e+000	-3.782665e-003
1.676644880218166e-005	5.731628e+000	4.057773e+000	3.825460e-002
1.677646306495966e-005	5.725236e+000	4.193921e+000	1.017164e-001
1.678625157716684e-005	5.709973e+000	4.291581e+000	2.073219e-001
1.679913284766928e-005	5.674320e+000	4.390221e+000	3.610820e-001
1.680428988741767e-005	5.648664e+000	4.417437e+000	4.109412e-001
1.680812667447481e-005	5.615481e+000	4.426568e+000	4.281176e-001
1.681043960434703e-005	5.581380e+000	4.422784e+000	4.175950e-001
1.681193418088284e-005	5.543111e+000	4.410014e+000	3.868830e-001
1.681288092370576e-005	5.501715e+000	4.391060e+000	3.425413e-001
1.681349060625622e-005	5.459158e+000	4.368721e+000	2.933767e-001
1.681398689175134e-005	5.414009e+000	4.343743e+000	2.469638e-001
1.681458287766987e-005	5.359698e+000	4.313584e+000	2.053351e-001
1.681484192721890e-005	5.341969e+000	4.304301e+000	1.963184e-001
1.681517460551781e-005	5.327096e+000	4.297593e+000	1.913519e-001
1.681554230310163e-005	5.315571e+000	4.293445e+000	1.885066e-001
1.681616995059283e-005	5.301599e+000	4.290157e+000	1.864800e-001
1.681674999618518e-005	5.291503e+000	4.288990e+000	1.857316e-001
1.681787531617543e-005	5.274509e+000	4.288424e+000	1.853394e-001
1.681897236129224e-005	5.258600e+000	4.288258e+000	1.851573e-001
1.682116645152586e-005	5.227357e+000	4.288146e+000	1.849848e-001
1.682431788918307e-005	5.183149e+000	4.288049e+000	1.847983e-001
1.682979076719839e-005	5.107876e+000	4.287960e+000	1.845905e-001
1.683550290313095e-005	5.031560e+000	4.287907e+000	1.844217e-001
1.684626650229218e-005	4.893753e+000	4.287836e+000	1.841610e-001
1.686095804840380e-005	4.718377e+000	4.287768e+000	1.838593e-001
1.689034114062705e-005	4.400250e+000	4.287703e+000	1.833865e-001
1.692250818385053e-005	4.089985e+000	4.287727e+000	1.830106e-001
1.696523275923704e-005	3.723773e+000	4.287891e+000	1.826832e-001
1.701646507068721e-005	3.323465e+000	4.288232e+000	1.824629e-001
1.708847855841949e-005	2.795707e+000	4.288906e+000	1.823788e-001
1.718576885347280e-005	2.107732e+000	4.290112e+000	1.825997e-001
1.733585475256975e-005	1.064175e+000	4.292501e+000	1.834816e-001
1.744756404387613e-005	3.243940e-001	4.317449e+000	1.843719e-001
1.747923744124685e-005	1.708513e-001	4.362948e+000	1.846098e-001
1.749826652600705e-005	1.241018e-001	4.418886e+000	1.847727e-001
1.751173414403418e-005	1.073111e-001	4.465119e+000	1.849184e-001
1.752813973449209e-005	9.418300e-002	4.519787e+000	1.851097e-001
1.754839116386486e-005	8.310936e-002	4.582288e+000	1.853567e-001
1.756990029533425e-005	7.518209e-002	4.641214e+000	1.856247e-001
1.759836817665980e-005	6.821886e-002	4.707785e+000	1.859852e-001
1.762973001250730e-005	6.332278e-002	4.766305e+000	1.863848e-001
1.768779662039386e-005	5.792007e-002	4.846731e+000	1.871289e-001
1.774358933041417e-005	5.507222e-002	4.897633e+000	1.878442e-001
1.785517475045480e-005	5.261708e-002	4.952841e+000	1.892729e-001
1.799113328291261e-005	5.167206e-002	4.982434e+000	1.910041e-001
1.826305034782823e-005	5.188270e-002	4.998420e+000	1.944357e-001
