time	V(vds)	V(vgs)	Id(M1)
2.741496361686705e-007	5.632823e+000	4.335444e+000	2.588296e-002
2.761496361686705e-007	5.396007e+000	4.335209e+000	2.611968e-002
2.771496361686705e-007	5.282501e+000	4.335042e+000	2.623626e-002
2.781496361686706e-007	5.172373e+000	4.334846e+000	2.635209e-002
2.791496361686706e-007	5.065681e+000	4.334624e+000	2.646762e-002
2.801496361686706e-007	4.962459e+000	4.334382e+000	2.658336e-002
2.811496361686706e-007	4.862710e+000	4.334124e+000	2.669990e-002
2.821496361686707e-007	4.766406e+000	4.333857e+000	2.681786e-002
2.831496361686707e-007	4.673489e+000	4.333590e+000	2.693787e-002
2.841496361686707e-007	4.583865e+000	4.333329e+000	2.706054e-002
2.851496361686707e-007	4.497411e+000	4.333082e+000	2.718642e-002
2.881496361686708e-007	4.255468e+000	4.332488e+000	2.758721e-002
2.891496361686708e-007	4.180013e+000	4.332353e+000	2.772921e-002
2.901496361686708e-007	4.106827e+000	4.332253e+000	2.787544e-002
2.911496361686709e-007	4.035717e+000	4.332188e+000	2.802577e-002
2.921496361686709e-007	3.966496e+000	4.332159e+000	2.817999e-002
2.931496361686709e-007	3.898986e+000	4.332163e+000	2.833785e-002
2.941496361686709e-007	3.833024e+000	4.332199e+000	2.849909e-002
2.951496361686709e-007	3.768457e+000	4.332264e+000	2.866343e-002
2.961496361686710e-007	3.705147e+000	4.332357e+000	2.883060e-002
2.971496361686710e-007	3.642966e+000	4.332476e+000	2.900036e-002
2.991496361686710e-007	3.521547e+000	4.332780e+000	2.934666e-002
3.011496361686711e-007	3.403412e+000	4.333161e+000	2.970063e-002
3.041496361686711e-007	3.231007e+000	4.333850e+000	3.024293e-002
3.061496361686712e-007	3.119103e+000	4.334382e+000	3.061166e-002
3.081496361686712e-007	3.008158e+000	4.334942e+000	3.098285e-002
3.101496361686713e-007	2.898173e+000	4.335529e+000	3.135650e-002
3.121496361686713e-007	2.789146e+000	4.336143e+000	3.173262e-002
3.141496361686714e-007	2.681077e+000	4.336784e+000	3.211120e-002
3.161496361686714e-007	2.573968e+000	4.337452e+000	3.249224e-002
3.181496361686715e-007	2.467817e+000	4.338148e+000	3.287574e-002
3.215782075972429e-007	2.286460e+000	4.339359e+000	3.353535e-002
3.250067790258145e-007	2.105598e+000	4.340617e+000	3.419700e-002
3.284353504543860e-007	1.925230e+000	4.341920e+000	3.486068e-002
3.318639218829575e-007	1.745357e+000	4.343270e+000	3.552640e-002
3.352924933115290e-007	1.565978e+000	4.344665e+000	3.619416e-002
3.387210647401005e-007	1.387094e+000	4.346106e+000	3.686396e-002
3.421496361686720e-007	1.208704e+000	4.347593e+000	3.753580e-002
3.442924933115292e-007	1.097148e+000	4.348548e+000	3.795601e-002
3.464353504543864e-007	9.856850e-001	4.349544e+000	3.837666e-002
3.485782075972435e-007	8.743142e-001	4.350583e+000	3.879774e-002
3.507210647401008e-007	7.630359e-001	4.351664e+000	3.921925e-002
3.528639218829579e-007	6.518500e-001	4.352787e+000	3.964119e-002
3.550067790258152e-007	5.407567e-001	4.353951e+000	4.006357e-002
3.571496361686723e-007	4.297559e-001	4.355158e+000	4.048637e-002
3.601496361686724e-007	2.745840e-001	4.356994e+000	4.107875e-002
3.611496361686724e-007	2.235733e-001	4.358194e+000	4.125160e-002
3.621496361686724e-007	1.761526e-001	4.362391e+000	4.133891e-002
3.631496361686725e-007	1.368488e-001	4.373288e+000	4.133998e-002
3.641496361686725e-007	1.078925e-001	4.392619e+000	4.134278e-002
3.651496361686725e-007	8.775190e-002	4.419038e+000	4.140232e-002
3.661496361686725e-007	7.362983e-002	4.450207e+000	4.151156e-002
3.671496361686725e-007	6.337615e-002	4.484340e+000	4.165278e-002
3.681496361686726e-007	5.564720e-002	4.520319e+000	4.181296e-002
3.691496361686726e-007	4.963709e-002	4.557473e+000	4.198464e-002
3.701496361686726e-007	4.484520e-002	4.595379e+000	4.216364e-002
3.711496361686726e-007	4.094493e-002	4.633761e+000	4.234750e-002
3.721496361686727e-007	3.771454e-002	4.672431e+000	4.253469e-002
3.731496361686727e-007	3.499877e-002	4.711255e+000	4.272423e-002
3.741496361686727e-007	3.268599e-002	4.750137e+000	4.291542e-002
3.751496361686727e-007	3.069419e-002	4.789005e+000	4.310781e-002
3.761496361686727e-007	2.896187e-002	4.827806e+000	4.330109e-002
3.771496361686728e-007	2.744214e-002	4.866499e+000	4.349501e-002
3.781496361686728e-007	2.609864e-002	4.905053e+000	4.368941e-002
3.791496361686728e-007	2.490282e-002	4.943441e+000	4.388417e-002
3.801496361686728e-007	2.383192e-002	4.981646e+000	4.407917e-002
3.811496361686729e-007	2.286762e-002	5.019650e+000	4.427436e-002
3.821496361686729e-007	2.199501e-002	5.057441e+000	4.446968e-002
3.831496361686729e-007	2.120182e-002	5.095010e+000	4.466507e-002
3.841496361686729e-007	2.047786e-002	5.132348e+000	4.486051e-002
3.851496361686729e-007	1.981463e-002	5.169448e+000	4.505597e-002
3.861496361686730e-007	1.920496e-002	5.206306e+000	4.525141e-002
3.871496361686730e-007	1.864276e-002	5.242916e+000	4.544684e-002
3.881496361686730e-007	1.812281e-002	5.279277e+000	4.564223e-002
3.891496361686730e-007	1.764067e-002	5.315384e+000	4.583756e-002
3.901496361686731e-007	1.719247e-002	5.351237e+000	4.603283e-002
3.911496361686731e-007	1.677486e-002	5.386834e+000	4.622803e-002
3.921496361686731e-007	1.638490e-002	5.422174e+000	4.642314e-002
3.931496361686731e-007	1.602005e-002	5.457255e+000	4.661817e-002
3.941496361686731e-007	1.567803e-002	5.492079e+000	4.681312e-002
3.951496361686732e-007	1.535686e-002	5.526644e+000	4.700796e-002
3.961496361686732e-007	1.505476e-002	5.560951e+000	4.720270e-002
3.971496361686732e-007	1.477016e-002	5.595001e+000	4.739735e-002
3.981496361686732e-007	1.450166e-002	5.628794e+000	4.759188e-002
3.991496361686732e-007	1.424799e-002	5.662330e+000	4.778630e-002
4.001496361686733e-007	1.400803e-002	5.695611e+000	4.798061e-002
4.011496361686733e-007	1.378075e-002	5.728637e+000	4.817481e-002
4.021496361686733e-007	1.356523e-002	5.761410e+000	4.836890e-002
4.031496361686733e-007	1.336064e-002	5.793930e+000	4.856287e-002
4.041496361686734e-007	1.316622e-002	5.826200e+000	4.875672e-002
4.051496361686734e-007	1.298129e-002	5.858219e+000	4.895045e-002
4.061496361686734e-007	1.280520e-002	5.889990e+000	4.914407e-002
4.071496361686734e-007	1.263740e-002	5.921515e+000	4.933756e-002
4.081496361686734e-007	1.247735e-002	5.952793e+000	4.953093e-002
4.091496361686735e-007	1.232458e-002	5.983828e+000	4.972418e-002
4.101496361686735e-007	1.217864e-002	6.014620e+000	4.991730e-002
4.111496361686735e-007	1.203911e-002	6.045170e+000	5.011030e-002
4.131496361686736e-007	1.177787e-002	6.105555e+000	5.049593e-002
4.151496361686736e-007	1.153816e-002	6.164994e+000	5.088106e-002
4.171496361686736e-007	1.131769e-002	6.223500e+000	5.126568e-002
4.201496361686737e-007	1.101882e-002	6.309539e+000	5.184167e-002
4.231496361686738e-007	1.075322e-002	6.393553e+000	5.241652e-002
4.261496361686738e-007	1.051632e-002	6.475585e+000	5.299022e-002
4.285782075972453e-007	1.034596e-002	6.540515e+000	5.345381e-002
4.310067790258168e-007	1.018706e-002	6.604254e+000	5.391664e-002
4.334353504543883e-007	1.003964e-002	6.666803e+000	5.437872e-002
4.358639218829598e-007	9.903677e-003	6.728162e+000	5.484005e-002
4.382924933115313e-007	9.779188e-003	6.788330e+000	5.530062e-002
4.407210647401028e-007	9.666168e-003	6.847308e+000	5.576044e-002
4.431496361686742e-007	9.564618e-003	6.905096e+000	5.621951e-002
4.460067790258172e-007	9.454390e-003	6.971640e+000	5.675862e-002
4.488639218829601e-007	9.352286e-003	7.036759e+000	5.729669e-002
4.517210647401030e-007	9.258307e-003	7.100452e+000	5.783372e-002
4.545782075972459e-007	9.172452e-003	7.162719e+000	5.836972e-002
4.574353504543888e-007	9.094722e-003	7.223561e+000	5.890467e-002
4.602924933115318e-007	9.025116e-003	7.282978e+000	5.943859e-002
4.631496361686747e-007	8.963635e-003	7.340968e+000	5.997147e-002
4.668639218829604e-007	8.891963e-003	7.414346e+000	6.066267e-002
4.705782075972461e-007	8.827381e-003	7.485717e+000	6.135213e-002
4.742924933115318e-007	8.769890e-003	7.555082e+000	6.203986e-002
4.780067790258175e-007	8.719490e-003	7.622440e+000	6.272586e-002
4.817210647401032e-007	8.676181e-003	7.687792e+000	6.341012e-002
4.854353504543889e-007	8.639963e-003	7.751138e+000	6.409265e-002
4.891496361686746e-007	8.610836e-003	7.812478e+000	6.477346e-002
4.940067790258173e-007	8.579886e-003	7.889899e+000	6.566112e-002
4.988639218829601e-007	8.555039e-003	7.964623e+000	6.654588e-002
5.037210647401028e-007	8.536295e-003	8.036649e+000	6.742773e-002
5.085782075972454e-007	8.523655e-003	8.105979e+000	6.830668e-002
5.134353504543881e-007	8.517119e-003	8.172612e+000	6.918272e-002
5.182924933115308e-007	8.516686e-003	8.236548e+000	7.005585e-002
5.231496361686736e-007	8.522356e-003	8.297787e+000	7.092607e-002
5.274353504543877e-007	8.530188e-003	8.349955e+000	7.169153e-002
5.317210647401019e-007	8.540615e-003	8.400503e+000	7.245477e-002
5.360067790258160e-007	8.553635e-003	8.449431e+000	7.321579e-002
5.402924933115302e-007	8.569249e-003	8.496739e+000	7.397460e-002
5.445782075972443e-007	8.587457e-003	8.542426e+000	7.473119e-002
5.488639218829585e-007	8.608258e-003	8.586494e+000	7.548556e-002
5.531496361686726e-007	8.631654e-003	8.628941e+000	7.623772e-002
5.541496361686726e-007	8.637300e-003	8.638669e+000	7.641291e-002
5.640067790258152e-007	8.700888e-003	8.729336e+000	7.813323e-002
5.738639218829578e-007	8.770852e-003	8.814278e+000	7.984221e-002
5.837210647401003e-007	8.847192e-003	8.893495e+000	8.153986e-002
5.935782075972429e-007	8.929908e-003	8.966987e+000	8.322617e-002
6.034353504543854e-007	9.018999e-003	9.034755e+000	8.490115e-002
6.132924933115279e-007	9.114466e-003	9.096798e+000	8.656479e-002
6.231496361686705e-007	9.216310e-003	9.153116e+000	8.821709e-002
6.345782075972415e-007	9.338012e-003	9.213321e+000	9.011889e-002
6.460067790258127e-007	9.462769e-003	9.269314e+000	9.200620e-002
6.574353504543837e-007	9.590579e-003	9.321096e+000	9.387903e-002
6.688639218829548e-007	9.721445e-003	9.368666e+000	9.573737e-002
6.802924933115259e-007	9.855364e-003	9.412026e+000	9.758122e-002
6.917210647400970e-007	9.992337e-003	9.451174e+000	9.941059e-002
7.031496361686680e-007	1.013236e-002	9.486111e+000	1.012255e-001
7.147210647400963e-007	1.027522e-002	9.518813e+000	1.030487e-001
7.262924933115244e-007	1.041891e-002	9.549269e+000	1.048578e-001
7.378639218829527e-007	1.056345e-002	9.577479e+000	1.066529e-001
7.494353504543809e-007	1.070883e-002	9.603442e+000	1.084340e-001
7.610067790258091e-007	1.085506e-002	9.627158e+000	1.102010e-001
7.725782075972374e-007	1.100213e-002	9.648628e+000	1.119539e-001
7.841496361686655e-007	1.115004e-002	9.667850e+000	1.136927e-001
7.940067790258081e-007	1.127597e-002	9.683202e+000	1.151633e-001
8.038639218829507e-007	1.140183e-002	9.697666e+000	1.166241e-001
8.137210647400932e-007	1.152762e-002	9.711241e+000	1.180753e-001
8.235782075972358e-007	1.165333e-002	9.723929e+000	1.195167e-001
8.334353504543783e-007	1.177896e-002	9.735729e+000	1.209485e-001
8.432924933115208e-007	1.190452e-002	9.746641e+000	1.223706e-001
8.531496361686634e-007	1.203001e-002	9.756665e+000	1.237829e-001
8.541496361686634e-007	1.204271e-002	9.757661e+000	1.239257e-001
8.664353504543773e-007	1.219867e-002	9.769167e+000	1.256715e-001
8.787210647400912e-007	1.235398e-002	9.779932e+000	1.274031e-001
8.910067790258051e-007	1.250864e-002	9.789954e+000	1.291204e-001
9.032924933115190e-007	1.266265e-002	9.799233e+000	1.308234e-001
9.155782075972330e-007	1.281602e-002	9.807771e+000	1.325121e-001
9.278639218829469e-007	1.296874e-002	9.815566e+000	1.341865e-001
9.401496361686607e-007	1.312080e-002	9.822619e+000	1.358467e-001
9.531496361686615e-007	1.328076e-002	9.829586e+000	1.375883e-001
9.661496361686623e-007	1.343967e-002	9.836133e+000	1.393149e-001
9.791496361686630e-007	1.359756e-002	9.842260e+000	1.410264e-001
