time	V(vds)	V(vgs)	Id(M1)
5.832330000000000e-006	3.174529e-002	5.001750e+000	1.200968e-001
5.833329999999999e-006	3.175079e-002	5.001750e+000	1.201173e-001
5.834329999999999e-006	3.173338e-002	5.001748e+000	1.191857e-001
5.834429999999999e-006	3.174773e-002	5.001706e+000	1.198119e-001
5.834629999999999e-006	3.175315e-002	5.001605e+000	1.201449e-001
5.834929999999999e-006	3.174705e-002	5.001418e+000	1.201522e-001
5.835329999999999e-006	3.173774e-002	5.001134e+000	1.201881e-001
5.835370000000000e-006	3.173640e-002	5.001115e+000	1.201712e-001
5.835449999999999e-006	3.173475e-002	5.001082e+000	1.201625e-001
5.835610000000000e-006	3.173338e-002	5.001031e+000	1.201651e-001
5.835930000000000e-006	3.173304e-002	5.000938e+000	1.201713e-001
5.836530373318135e-006	3.173278e-002	5.000708e+000	1.201837e-001
5.837491862588768e-006	3.172119e-002	4.999981e+000	1.202045e-001
5.838869747148745e-006	3.167213e-002	4.997951e+000	1.202354e-001
5.839680157921910e-006	3.161449e-002	4.995861e+000	1.202546e-001
5.840131865303218e-006	3.156057e-002	4.993998e+000	1.202669e-001
5.840448227607326e-006	3.150048e-002	4.992006e+000	1.202780e-001
5.840740803032605e-006	3.142356e-002	4.989634e+000	1.202870e-001
5.841071619186935e-006	3.133417e-002	4.986977e+000	1.202909e-001
5.841339086255570e-006	3.128269e-002	4.985199e+000	1.202910e-001
5.841636281649185e-006	3.125460e-002	4.983614e+000	1.202917e-001
5.841888993542368e-006	3.124963e-002	4.982495e+000	1.202937e-001
5.842159915974607e-006	3.125861e-002	4.981464e+000	1.202970e-001
5.842456781801569e-006	3.127816e-002	4.980451e+000	1.203016e-001
5.842762225783452e-006	3.130492e-002	4.979491e+000	1.203071e-001
5.843373113747219e-006	3.136612e-002	4.977685e+000	1.203191e-001
5.844070667568687e-006	3.143872e-002	4.975701e+000	1.203334e-001
5.845465775211624e-006	3.158051e-002	4.971839e+000	1.203624e-001
5.847806265637471e-006	3.178680e-002	4.964951e+000	1.204120e-001
5.850159401023855e-006	3.185350e-002	4.954458e+000	1.204680e-001
5.851794021097919e-006	3.167192e-002	4.940106e+000	1.205097e-001
5.853564008706519e-006	3.131215e-002	4.915895e+000	1.205467e-001
5.855300103747063e-006	3.106383e-002	4.886919e+000	1.205756e-001
5.857096780518204e-006	3.108778e-002	4.852852e+000	1.206054e-001
5.860690134060484e-006	3.190478e-002	4.777108e+000	1.206655e-001
5.865836274628002e-006	3.459420e-002	4.659567e+000	1.207499e-001
5.871520244082762e-006	4.022117e-002	4.523026e+000	1.208338e-001
5.877506446655092e-006	5.158718e-002	4.378400e+000	1.208896e-001
5.883986381373419e-006	7.515557e-002	4.229243e+000	1.208539e-001
5.888432887003197e-006	1.069584e-001	4.139922e+000	1.206624e-001
5.891845613104029e-006	1.552094e-001	4.091409e+000	1.202586e-001
5.895342305095401e-006	2.367397e-001	4.068256e+000	1.197838e-001
5.898807259841295e-006	3.397489e-001	4.063396e+000	1.196276e-001
5.902311693875392e-006	4.504014e-001	4.063555e+000	1.196741e-001
5.906064737881382e-006	5.691558e-001	4.063693e+000	1.197184e-001
